Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2015,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Sidewalks & Pedestrian Facilities - REET II,NA,NA,Expense,Sidewalks & Pedestrian Facilities - REET II,0,12452000
2013,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Freight Mobility - REET II,NA,NA,Expense,Freight Mobility - REET II,0,
2015,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Neighborhood Enhancements - CRS-SV,NA,NA,Expense,Neighborhood Enhancements - CRS-SV,0,500000
2018,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,NA,NA,Expense,Cumulative Reserve Subfund - Revenue Stabilization Account,,3850594
2013,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Landslide Mitigation - REET II,NA,NA,Expense,Landslide Mitigation - REET II,0,200000
2017,Public Safety,Fire,Administration,Public Affairs,NA,NA,Expense,Public Affairs,0,606569
2017,Utilities & Transportation,Transportation,Department Management,Human Resources,NA,NA,Expense,Human Resources,0,1060604
2015,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Street Vacation Support to Transportation,Freight Mobility,NA,NA,Expense,Freight Mobility,0,256000
2010,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Neighborhood Enhancements - REET II,NA,NA,Expense,Neighborhood Enhancements - REET II,0,1210000
2014,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to Transportation,Debt Service (SDOT) - CRS-U,NA,NA,Expense,Debt Service (SDOT) - CRS-U,0,0
2016,Administration,Seattle Information Technology Department,"Leadership, Planning and Security",Information Security Office,NA,NA,Expense,Information Security Office,0,434658
2013,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Trails and Bike Paths - REET II,NA,NA,Expense,Trails and Bike Paths - REET II,0,
2017,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships,NA,NA,Expense,Cultural Partnerships,0,4827362
2011,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to McCaw Hall Fund,CRS REET I Support to McCaw Hall Fund,NA,NA,Expense,CRS REET I Support to McCaw Hall Fund,0,200000
2016,"Funds, Subfunds & Other",Judgment/Claims Subfund,General Legal Expenses,General Litigation,NA,NA,Expense,General Litigation,0,103000
2017,Neighborhoods & Development,Construction and Inspections,Construction Permit Services,Construction Plans Administration,NA,NA,Expense,Construction Plans Administration,0,22107109
2015,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Corridor & Intersection Improvements - REET II,NA,NA,Expense,Corridor & Intersection Improvements - REET II,0,2700000
2018,Administration,Finance and Administrative Services,City Finance Division,Treasury,NA,NA,Expense,Treasury,,4791749
2017,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,8633328
2011,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Artwork Conservation - OACA - CRS REET I,Artwork Conservation - OACA REET I,NA,NA,Expense,Artwork Conservation - OACA REET I,0,187000
2016,Administration,Finance and Administrative Services,City Finance Division,Business Licensing and Tax Administration,NA,NA,Expense,Business Licensing and Tax Administration,0,3251803
2017,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,NA,NA,Expense,Shared Cost Projects,0,62002123
2018,Administration,Finance General,Reserves,Department of Justice Settlement Agreement/Police Accountability,NA,NA,Expense,Department of Justice Settlement Agreement/Police Accountability,,1968400
2017,Administration,Law,Administration,Administration,NA,NA,Expense,Administration,0,2497927
2017,Utilities & Transportation,Transportation,General Expense,Indirect Cost Recovery - General Expense,NA,NA,Expense,Indirect Cost Recovery - General Expense,0,-30374593
2017,Health & Human Services,Human Services,Youth and Family Empowerment,Youth Services,NA,NA,Expense,Youth Services,0,18253711
2018,Administration,Finance and Administrative Services,FileLocal Agency,FAS FileLocal Agency,NA,NA,Expense,FAS FileLocal Agency,,384754
2018,Administration,Employees' Retirement,Employee Benefit Management,Employees' Retirement,NA,NA,Expense,Employees' Retirement,,19231409
2011,Administration,Mayor,Office of the Mayor,Office of the Mayor,NA,NA,Expense,Office of the Mayor,0,3455957.35
2013,Administration,Mayor,Office of the Mayor,Office of the Mayor,NA,NA,Expense,Office of the Mayor,0,3640898.38
2016,Administration,Seattle Information Technology Department,Engineering and Operations,Telephone Services,NA,NA,Expense,Telephone Services,0,5470789
2015,"Funds, Subfunds & Other",Judgment/Claims Subfund,General Legal Expenses,General Litigation,NA,NA,Expense,General Litigation,0,103000
2010,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Design Commission - CRS REET I,Design Commission - CRS REET I,NA,NA,Expense,Design Commission - CRS REET I,0,0
2017,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,NA,NA,Expense,Violent Crimes Investigations,0,8179502
2017,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,NA,NA,Expense,Structures Maintenance,0,7270492
2017,Seattle Public Library,Library,Administrative Services,Facilities and Security Services,NA,NA,Expense,Facilities and Security Services,0,8708720
2017,Neighborhoods & Development,Construction and Inspections,Department Leadership,Director's Office,NA,NA,Expense,Director's Office,0,894532
2010,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to McCaw Hall Fund,CRS REET I Support to McCaw Hall Fund,NA,NA,Expense,CRS REET I Support to McCaw Hall Fund,0,200000
2014,"Funds, Subfunds & Other",Judgment/Claims Subfund,General Legal Expenses,General Litigation,NA,NA,Expense,General Litigation,0,103000
2017,Neighborhoods & Development,Construction and Inspections,Annual Certification and Inspection,Annual Certification and Inspection,NA,NA,Expense,Annual Certification and Inspection,0,5360946
2018,Administration,Finance General,Support to Operating Funds,Department of Education Fund,NA,NA,Expense,Department of Education Fund,,13879174
2016,Health & Human Services,Seattle Preschool Levy,Program Support: Professional Development and Training,Program Support: Professional Development and Training,NA,NA,Expense,Program Support: Professional Development and Training,0,742874
2015,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS Support for Operating & Maintenance Expenditures - REET I,CRS O&M Expenditures,NA,NA,Expense,CRS O&M Expenditures,0,1000000
2017,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,0,299074369
2017,Health & Human Services,Education - Support Services Levy,Student Health,Student Health,NA,NA,Expense,Student Health,0,6656729
2016,Administration,Seattle Information Technology Department,Citywide IT Initiatives,Seattle Fire Department IT Initiatives,NA,NA,Expense,Seattle Fire Department IT Initiatives,0,2366046
2016,Administration,Finance and Administrative Services,Fleet Services,Vehicle Maintenance,NA,NA,Expense,Vehicle Maintenance,0,19919596
2018,Administration,Information Technology,Applications Services,Applications,NA,NA,Expense,Applications,,29228922
2018,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Applications,NA,NA,Expense,Applications,,430062
2018,"Funds, Subfunds and Other",Debt Service,UTGO Debt Service,UTGO - Bond Interest and Redemption,NA,NA,Expense,UTGO - Bond Interest and Redemption,,30375700
2018,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,NA,NA,Expense,Civil Service Commissions,,487369
2017,Utilities & Transportation,Transportation,Department Management,Public Information,NA,NA,Expense,Public Information,0,585110
2018,"Funds, Subfunds and Other",Cumulative Reserve Subfund,CRS REET I Support to Transportation,Roads - REET I,NA,NA,Expense,Roads - REET I,,1185000
2017,Health & Human Services,Human Services,Youth and Family Empowerment,Access to Food and Meals,NA,NA,Expense,Access to Food and Meals,0,6808596
2016,Administration,Finance and Administrative Services,City Finance Division,Risk Management,NA,NA,Expense,Risk Management,0,1311154
2014,"Funds, Subfunds & Other",Judgment/Claims Subfund,Litigation Expenses,Settlement and Judgment Expenses,NA,NA,Expense,Settlement and Judgment Expenses,0,12853527
2016,Administration,Seattle Information Technology Department,Engineering and Operations,Technology Engineering and Project Management,NA,NA,Expense,Technology Engineering and Project Management,0,1089298
2016,Administration,Seattle Information Technology Department,Citywide IT Initiatives,Office of Arts and Culture IT Initiatives,NA,NA,Expense,Office of Arts and Culture IT Initiatives,0,95648
2018,Administration,Information Technology,Engineering & Operations,Network and Communications Technology,NA,NA,Expense,Network and Communications Technology,,18544451
2017,Public Safety,Firefighters Pension,Firefighters' Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,11400000
2017,Public Safety,Police,Patrol Operations,Deputy Chief Operations,NA,NA,Expense,Deputy Chief Operations,0,9261391
2013,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Design Commission - CRS REET I,Design Commission - CRS REET I,NA,NA,Expense,Design Commission - CRS REET I,0,491719
2018,Administration,Finance General,Reserves,Community Health Engagement Location,NA,NA,Expense,Community Health Engagement Location,,1300000
2017,Utilities & Transportation,City Light,Transmission and Distribution O&M,Transmission and Distribution O&M,NA,NA,Expense,Transmission and Distribution O&M,0,60446782
2014,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Tenant Relocation Assistance Program REET I,Tenant Relocation Assistance Program REET I,NA,NA,Expense,Tenant Relocation Assistance Program REET I,0,157436
2016,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,NA,NA,Expense,Administration,0,612000
2017,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,213372652
2018,"Funds, Subfunds and Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,NA,NA,Expense,Central Waterfront Improvement Fund Interest Expense,,468881
2017,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,NA,NA,Expense,Watershed Stewardship,0,66481
2018,"Funds, Subfunds and Other",Fiber Leasing Fund,Fiber Leasing Fund,Fiber Leasing Fund,NA,NA,Expense,Fiber Leasing Fund,,155000
2012,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Artwork Conservation - OACA - CRS-UR,Artwork Conservation - OACA,NA,NA,Expense,Artwork Conservation - OACA,0,0
2013,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET II Support to Transportation,Debt Service (SDOT) - REET II,NA,NA,Expense,Debt Service (SDOT) - REET II,0,1362000
2018,Administration,Information Technology,Capital Improvement Projects,Citywide IT Initiatives CIP,NA,NA,Expense,Citywide IT Initiatives CIP,,1747324
2017,Utilities & Transportation,Transportation,Department Management,Indirect Cost Recovery - Department Management,NA,NA,Expense,Indirect Cost Recovery - Department Management,0,-31279855
2018,Administration,Finance General,Reserves,Recurring Reserve-Tax Refund Interest,NA,NA,Expense,Recurring Reserve-Tax Refund Interest,,775000
2014,"Funds, Subfunds & Other",School Safety Traffic and Pedestrian Improvement Fund,"School Safety Education and Outreach, Infrastructure Maintenance, and Capital Improvements",Capital Improvements,NA,NA,Expense,Capital Improvements,0,6599000
2017,Administration,Law,Civil,Civil,NA,NA,Expense,Civil,0,15428937
2016,"Funds, Subfunds & Other",School Safety Traffic and Pedestrian Improvement Fund,"School Safety Education and Outreach, Infrastructure Maintenance, and Capital Improvements",Non-Capital Operations and Maintenance,NA,NA,Expense,Non-Capital Operations and Maintenance,0,1200880
2017,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,104814529
2016,Administration,Seattle Information Technology Department,Engineering and Operations,Service Desk,NA,NA,Expense,Service Desk,0,1176122
2013,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to Transportation,CRS-U Support to Transportation,NA,NA,Expense,CRS-U Support to Transportation,0,1025625
2017,Utilities & Transportation,Transportation,Bridges & Structures,Bridge Operations,NA,NA,Expense,Bridge Operations,0,3572293
2018,Administration,Finance and Administrative Services,City Finance Division,Risk Management,NA,NA,Expense,Risk Management,,1365119
2018,Administration,Personnel Compensation Trust Funds,Health Care,Health Care Program,NA,NA,Expense,Health Care Program,,226829859
2016,Administration,Finance and Administrative Services,Budget and Central Services,Budget and Central Services,NA,NA,Expense,Budget and Central Services,0,6945378
2016,Administration,Information Technology,Engineering and Operations,Technology Engineering and Project Management,NA,NA,Expense,Technology Engineering and Project Management,0,4456963
2016,Administration,Finance and Administrative Services,Office of Constituent Services,Office of Constituent Services,NA,NA,Expense,Office of Constituent Services,0,3775651
2015,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS-U Support to General Subfund,CRS-U Support to General Subfund,NA,NA,Expense,CRS-U Support to General Subfund,0,400000
2016,Administration,Information Technology,Engineering and Operations,"Messaging, Collaboration and Directory Services",NA,NA,Expense,"Messaging, Collaboration and Directory Services",0,1736007
2017,Public Safety,Fire,Operations,Office of the Operations Chief,NA,NA,Expense,Office of the Operations Chief,0,18630446
2017,Neighborhoods & Development,Economic Development,CDBG - Office of Economic Development,Economic Development,NA,NA,Expense,Economic Development,0,1438272
